2021-11-25 12:36:31 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m1s6ms860µs900ns).
2021-11-25 12:50:29 [RMI TCP Connection(38)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-25 12:50:29 [RMI TCP Connection(38)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-25 12:52:05 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Starting NewOtpGenerateApplication using Java 17 on VRINDA-KHOLI-INT085 with PID 17588 (C:\Users\Vrinda_Kholi\Desktop\final_final_otp\target\classes started by Vrinda_Kholi in C:\Users\Vrinda_Kholi\Desktop\final_final_otp)
2021-11-25 12:52:05 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Running with Spring Boot v2.5.6, Spring v5.3.12
2021-11-25 12:52:05 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - No active profile set, falling back to default profiles: default
2021-11-25 12:52:06 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-11-25 12:52:06 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-25 12:52:07 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-25 12:52:07 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-25 12:52:07 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-25 12:52:07 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-25 12:52:07 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-25 12:52:08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-25 12:52:08 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-25 12:52:09 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-25 12:52:09 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-25 12:52:10 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-25 12:52:10 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-25 12:52:10 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-25 12:52:10 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Started NewOtpGenerateApplication in 5.651 seconds (JVM running for 7.01)
2021-11-25 12:52:17 [https-jsse-nio-8080-exec-3] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-25 12:53:44 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Starting NewOtpGenerateApplication using Java 17 on VRINDA-KHOLI-INT085 with PID 1560 (C:\Users\Vrinda_Kholi\Desktop\final_final_otp\target\classes started by Vrinda_Kholi in C:\Users\Vrinda_Kholi\Desktop\final_final_otp)
2021-11-25 12:53:44 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Running with Spring Boot v2.5.6, Spring v5.3.12
